standard_name,description_brief,external_details_URL,summary
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,Endosomal/Vacuolar pathway,https://www.reactome.org/content/detail/R-HSA-1236977,"Some antigens are cross-presented through a vacuolar mechanism that involves generation of antigenic peptides and their loading on to MHC-I molecules within the endosomal compartment in a proteasome and TAP-independent manner. Antigens within the endosome are processed by cathepsin S and other proteases into antigenic peptides. Loading of these peptides onto MHC-I molecules occurs directly within early and late endosomal compartments. Why certain antigens are cross-presented exclusively by the cytosolic pathway while others use the vacuolar pathway is unknown. It may be because some epitopes cannot be generated by endosomal proteolysis, or are completely destroyed. Alternatively, the physical form of the antigen may influence its accessibility to the endosomal or vacuolar pathways (Shen et al. 2004)."
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,Cross-presentation of soluble exogenous antigens (endosomes),https://www.reactome.org/content/detail/R-HSA-1236978,"Exogenous soluble antigens are cross-presented by dendritic cells, albeit with lower efficiency than for particulate substrates. Soluble antigens destined for cross-presentation are taken up by distinct endocytosis mechanisms which route them into stable early endosomes and then to the cytoplasm for proteasomal degradation and peptide loading."
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN,Erythrocytes take up carbon dioxide and release oxygen,https://www.reactome.org/content/detail/R-HSA-1237044,"Carbon dioxide (CO2) in plasma is hydrated to yield protons (H+) and bicarbonate (HCO3-) by carbonic anhydrase IV (CA4) located on the apical plasma membranes of endothelial cells. Plasma CO2 is also taken up by erythrocytes via AQP1 and RhAG. Within erythrocytes CA1 and, predominantly, CA2 hydrate CO2 to HCO3- and protons (reviewed in Geers &amp; Gros 2000, Jensen 2004, Boron 2010). The HCO3- is transferred out of the erythrocyte by the band 3 anion exchange protein (AE1, SLC4A1) which cotransports a chloride ion (Cl-) into the erythrocyte.Also within the erythrocyte, CO2 combines with the N-terminal alpha amino groups of HbA to form carbamates while protons bind histidine residues in HbA. The net result is the Bohr effect, a conformational change in HbA that reduces its affinity for O2 and hence assists the delivery of O2 to tissues."
REACTOME_METHIONINE_SALVAGE_PATHWAY,Methionine salvage pathway,https://www.reactome.org/content/detail/R-HSA-1237112,"Methionine salvage is a sequential pathway of six reactions that create methionine from 5'-methylthioadenosine (MTA) which is a byproduct of polyamine biosynthesis in nearly all organisms. The process happens completely in the cytosol. It is important in humans for recycling of sulphur that has to be assimilated using energy. (Pirkov et al, 2008; Albers, 2009)"
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,Erythrocytes take up oxygen and release carbon dioxide,https://www.reactome.org/content/detail/R-HSA-1247673,"Erythrocytes circulating through the capillaries of the lung must exchange carbon dioxide (CO2) for oxygen (O2) during their short (0.5-1 sec.) transit time in pulmonary tissue (Reviewed in Jensen 2004, Esbaugh and Tufts 2006, Boron 2010). CO2 bound as carbamate to the N-terminus of hemoglobin and protons (H+) bound to histidine residues in hemoglobin are released as hemoglobin (HbA) binds O2. Bicarbonate (HCO3-) present in plasma is taken up by erythrocytes via the band3 anion exchanger (AE1, SLC4A1) and combined with H+ by carbonic anhydrases I and II (CA1/CA2) to yield water and CO2 (Reviewed by Esbaugh and Tufts 2006). CO2 is passively transported out of the erythrocyte by AQP1 and RhAG. HCO3- in plasma is also directly dehydrated by extracellular carbonic anhydrase IV (CA4) present on endothelial cells lining the capillaries in the lung."
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,SHC1 events in ERBB2 signaling,https://www.reactome.org/content/detail/R-HSA-1250196,"All ERBB2 heterodimers, ERBB2:EGFR, ERBB2:ERBB3 and ERBB2:ERBB4, are able to activate RAF/MAP kinase cascade by recruiting SHC1 (Pinkas-Kramarski et al. 1996, Sepp-Lorenzino et al. 1996) to phosphorylated C-tail tyrosine residues in either EGFR (Y1148 and Y1173), ERBB2 (Y1196, Y1221, Y1222 and Y1248), ERBB3 (Y1328) or ERBB4 (Y1188 and Y1242 in JM-A CYT1 isoform, Y1178 and Y1232 in JM-B CYT1 isoform, Y1172 and Y1226 in JM-A CYT2 isoform). SHC1 recruitment is followed by phosphorylation (Segatto et al. 1993, Soler et al. 1994), and the phosphorylated SHC1 recruits GRB2:SOS1 complex (Xie et al. 1995), which leads to SOS1-mediated guanyl-nucleotide exchange on RAS (Xie et al. 1995) and downstream activation of RAF and MAP kinases."
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,PI3K events in ERBB4 signaling,https://www.reactome.org/content/detail/R-HSA-1250342,"The CYT1 isoforms of ERBB4 possess a C-tail tyrosine residue that, upon trans-autophosphorylation, serves as a docking site for the p85 alpha subunit of PI3K - PIK3R1 (Kaushansky et al. 2008, Cohen et al. 1996). Binding of PIK3R1 to CYT1 isoforms of ERBB4 is followed by recruitment of the p110 catalytic subunit of PI3K (PIK3CA), leading to assembly of an active PI3K complex that converts PIP2 to PIP3 and activates AKT signaling (Kainulainen et al. 2000)."
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING,SHC1 events in ERBB4 signaling,https://www.reactome.org/content/detail/R-HSA-1250347,"All splicing isoforms of ERBB4 possess two tyrosine residues in the C-tail that serve as docking sites for SHC1 (Kaushansky et al. 2008, Pinkas-Kramarski et al. 1996, Cohen et al. 1996). Once bound to ERBB4, SHC1 becomes phosphorylated on tyrosine residues by the tyrosine kinase activity of ERBB4, which enables it to recruit the complex of GRB2 and SOS1, resulting in the guanyl-nucleotide exchange on RAS and activation of RAF and MAP kinase cascade (Kainulainen et al. 2000)."
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,Nuclear signaling by ERBB4,https://www.reactome.org/content/detail/R-HSA-1251985,"Besides signaling as a transmembrane receptor, ligand activated homodimers of ERBB4 JM-A isoforms (ERBB4 JM-A CYT1 and ERBB4 JM-A CYT2) undergo proteolytic cleavage by ADAM17 (TACE) in the juxtamembrane region, resulting in shedding of the extracellular domain and formation of an 80 kDa membrane bound ERBB4 fragment known as ERBB4 m80 (Rio et al. 2000, Cheng et al. 2003). ERBB4 m80 undergoes further proteolytic cleavage, mediated by the gamma-secretase complex, which releases the soluble 80 kDa ERBB4 intracellular domain, known as ERBB4 s80 or E4ICD, into the cytosol (Ni et al. 2001). ERBB4 s80 is able to translocate to the nucleus, promote nuclear translocation of various transcription factors, and act as a transcription co-factor. In neuronal precursors, ERBB4 s80 binds the complex of TAB and NCOR1, helps to move the complex into the nucleus, and is a co-factor of TAB:NCOR1-mediated inhibition of expression of astrocyte differentiation genes GFAP and S100B (Sardi et al. 2006). In mammary cells, ERBB4 s80 recruits STAT5A transcription factor in the cytosol, shuttles it to the nucleus, and acts as the STAT5A co-factor in binding to and promoting transcription from the beta-casein (CSN2) promoter, and may be involved in the regulation of other lactation-related genes (Williams et al. 2004, Muraoka-Cook et al. 2008). ERBB4 s80 was also shown to bind activated estrogen receptor in the nucleus and act as its transcriptional co-factor in promoting transcription of some estrogen-regulated genes, such as progesterone receptor gene NR3C3 and CXCL12 i.e. SDF1 (Zhu et al. 2006). ERBB4s80 may inhibit transcription of telomerase reverse transcriptase (TERT) by increasing methylation of the TERT gene promoter through an unknown mechanism (Ishibashi et al. 2012).The C-tail of ERBB4 possesses several WW-domain binding motifs (three in CYT1 isoform and two in CYT2 isoform), which enable interaction of ERBB4 with WW-domain containing proteins. ERBB4 s80, through WW-domain binding motifs, interacts with YAP1 transcription factor, a known proto-oncogene, and may be a co-regulator of YAP1-mediated transcription (Komuro et al. 2003, Omerovic et al. 2004). The tumor suppressor WWOX, another WW-domain containing protein, competes with YAP1 in binding to ERBB4 s80 and prevents translocation of ERBB4 s80 to the nucleus (Aqeilan et al. 2005). ERBB4 s80 is also able to translocate to the mitochondrial matrix, presumably when its nuclear translocation is inhibited. Once in the mitochondrion, the BH3 domain of ERBB4, characteristic of BCL2 family members, may enable it to act as a pro-apoptotic factor (Naresh et al. 2006)."
REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING,Downregulation of ERBB4 signaling,https://www.reactome.org/content/detail/R-HSA-1253288,"WW-domain binding motifs in the C-tail of ERBB4 play an important role in the downregulation of ERBB4 receptor signaling, enabling the interaction of intact ERBB4, ERBB4 m80 and ERBB4 s80 with NEDD4 family of E3 ubiquitin ligases WWP1 and ITCH. The interaction of WWP1 and ITCH with intact ERBB4 is independent of receptor activation and autophosphorylation. Binding of WWP1 and ITCH ubiquitin ligases leads to ubiquitination of ERBB4 and its cleavage products, and subsequent degradation through both proteasomal and lysosomal routes (Omerovic et al. 2007, Feng et al. 2009). In addition, the s80 cleavage product of ERBB4 JM-A CYT-1 isoform is the target of NEDD4 ubiquitin ligase. NEDD4 binds ERBB4 JM-A CYT-1 s80 (ERBB4jmAcyt1s80) through its PIK3R1 interaction site and mediates ERBB4jmAcyt1s80 ubiquitination, thereby decreasing the amount of ERBB4jmAcyt1s80 that reaches the nucleus (Zeng et al. 2009)."
REACTOME_INTERLEUKIN_7_SIGNALING,Interleukin-7 signaling,https://www.reactome.org/content/detail/R-HSA-1266695,"Interleukin-7 (IL7) is produced primarily by T zone fibroblastic reticular cells found in lymphoid organs, and also expressed by non-hematopoietic stromal cells present in other tissues including the skin, intestine and liver. It is an essential survival factor for lymphocytes, playing a key anti-apoptotic role in T-cell development, as well as mediating peripheral T-cell maintenance and proliferation. This dual function is reflected in a dose-response relationship that distinguishes the survival function from the proliferative activity; low doses of IL7 (&lt;1 ng/ml) sustain only survival, higher doses  (&gt;1 ng/ml) promote survival and cell cycling (Kittipatarin et al. 2006, Swainson et al. 2007).The IL7 receptor is a heterodimeric complex of the the common cytokine-receptor gamma chain (IL2RG, CD132, or Gc) and the IL7-receptor alpha chain (IL7R, IL7RA, CD127). Both chains are members of the type 1 cytokine family. Neither chain is unique to the IL7 receptor as IL7R is utilized by the receptor for thymic stromal lymphopoietin (TSLP) while IL2RG is shared with the receptors for IL2, IL4, IL9, IL15 and IL21. IL2RG consists of a single transmembrane region and a 240aa extracellular region that includes a fibronectin type III (FNIII) domain thought to be involved in receptor complex formation. It is expressed on most lymphocyte populations. Null mutations of IL2RG in humans cause X-linked severe combined immunodeficiency (X-SCID), which has a phenotype of  severely reduced T-cell and natural killer (NK) cell populations, but normal numbers of B cells. In addition to reduced T- and NK-cell numbers, Il2rg knockout mice also have dramatically reduced B-cell populations suggesting that Il2rg is more critical for B-cell development in mice than in humans. Patients with severe combined immunodeficiency (SCID) phenotype due to IL7R mutations (see Puel &amp; Leonard 2000), or a partial deficiency of IL7R (Roifman et al. 2000) have markedly reduced circulating T cells, but normal levels of peripheral blood B cells and NK cells, similar to the phenotype of IL2RG mutations, highlighting a requirement for IL7 in T cell lymphopoiesis. It has been suggested that IL7 is essential for murine, but not human B cell development, but recent studies indicate that IL7 is essential for human B cell production from adult bone marrow and that IL7-induced expansion of the progenitor B cell compartment is increasingly critical for human B cell production during later stages of development (Parrish et al. 2009).IL7 has been shown to induce rapid and dose-dependent tyrosine phosphorylation of JAKs 1 and 3, and concomitantly tyrosine phosphorylation and DNA-binding activity of STAT5a/b (Foxwell et al. 1995). IL7R was shown to directly induce the activation of JAKs and STATs by van der Plas et al. (1996). Jak1 and Jak3 knockout mice displayed severely impaired thymic development, further supporting their importance in IL7 signaling (Rodig et al. 1998, Nosaka et al. 1995).The role of STAT5 in IL7 signaling has been studied largely in mouse models. Tyr449 in the cytoplasmic domain of IL7RA is required for T-cell development in vivo and activation of JAK/STAT5 and PI3k/Akt pathways (Jiang et al. 2004, Pallard et al. 1999). T-cells from an IL7R Y449F knock-in mouse did not activate STAT5 (Osbourne et al. 2007), indicating that IL7 regulates STAT5 activity via this key tyrosine residue. STAT5 seems to enhance proliferation of multiple cell lineages in mouse models but it remains unclear whether STAT5 is required solely for survival signaling or also for the induction of proliferative activity (Kittipatarin &amp; Khaled, 2007).The model for IL7 receptor signaling is believed to resemble that of other Gc family cytokines, based on detailed studies of the IL2 receptor, where IL2RB binds constitutively to JAK1 while JAK3 is pre-associated uniquely with the IL2RG chain. Extending this model to IL7 suggests a similar series of events: IL7R constitutively associated with JAK1 binds IL7, the resulting trimer recruits IL2RG:JAK3, bringing JAK1 and JAK3 into proximity. The association of both chains of the IL7 receptor orients the cytoplasmic domains of the receptor chains so that their associated kinases (Janus and phosphatidylinositol 3-kinases) can phosphorylate sequence elements on the cytoplasmic domains (Jiang et al. 2005). JAKs have low intrinsic enzymatic activity, but after mutual phosphorylation acquire much higher activity, leading to phosphorylation of the critical Y449 site on IL7R. This site binds STAT5 and possibly other signaling adapters, they in turn become phosphorylated by JAK1 and/or JAK3. Phosphorylated STATs translocate to the nucleus and trigger the transcriptional events of their target genes.The role of the PI3K/AKT pathway in IL7 signaling is controversial. It is a potential T-cell survival pathway because in many cell types PI3K signaling regulates diverse cellular functions such as cell cycle progression, transcription, and metabolism. The ERK/MAPK pathway does not appear to be involved in IL7 signaling (Crawley et al. 1996).It is not clear how IL7 influences cell proliferation. In the absence of a proliferative signal such as IL7 or IL3, dependent lymphocytes arrest in the G0/G1 phase of the cell cycle. To exit this phase, cells typically activate specific G1 Cyclin-dependent kinases/cyclins and down regulate cell cycle inhibitors such as Cyclin-dependent kinase inhibitor 1B (Cdkn1b or p27kip1). There is indirect evidence suggesting a possible role for IL7 stimulated activation of PI3K/AKT signaling, obtained from transformed cell lines and thymocytes, but not confirmed by observations using primary T-cells (Kittipatarin &amp; Khaled, 2007). IL7 withdrawal results in G1/S cell cycle arrest and is correlated with loss of cdk2 activity (Geiselhart et al. 2001), both events which are known to be regulated by the dephosphorylating activity of Cdc25A. Expression of a p38 MAPK-resistant Cdc25A mutant in an IL-7-dependent T-cell line as well as in peripheral, primary T-cells was sufficient to sustain cell survival and promote cell cycling for several days in the absence of IL7 (Khaled et al. 2005). Cdkn1b is a member of the CIP/KIP family of cyclin-dependent cell cycle inhibitors (CKIs) that negatively regulates the G1/S transition. In IL7 dependent T-cells, the expression of Cdkn1b was sufficient to cause G1 arrest in the presence of IL7. Withdrawal of IL7 induced the upregulation of Cdkn1b and arrested cells in G1 while siRNA knockout of Cdkn1b enhanced cell cycle progression. However, adoptive transfer of Cdkn1b-deficient lymphocytes into IL7 deficient mice indicated that loss of Cdkn1b could only partially compensate for the IL7 signal needed by T-cells to expand in a lymphopenic environment (Li et al. 2006), so though Cdkn1b may be involved in negative regulation of the cell cycle through an effect on cdk2 activity, its absence is not sufficient to fully induce cell cycling under lymphopenic conditions."
REACTOME_DEVELOPMENTAL_BIOLOGY,Developmental Biology,https://www.reactome.org/content/detail/R-HSA-1266738,"As early steps towards capturing the array of processes by which a fertilized egg gives rise to the diverse tissues of the body, examples of several processes have been annotated. Aspects of processes involved in most developmental processes, transcriptional regulation of pluripotent stem cells, gastrulation, and activation of HOX genes during differentiation are annotated. More specialized processes include nervous system development , aspects of the roles of cell adhesion molecules in axonal guidance and myogenesis, transcriptional regulation in pancreatic beta cell, cardiogenesis, transcriptional regulation of granulopoeisis, transcriptional regulation of testis differentiation, transcriptional regulation of white adipocyte differentiation, and molecular events of ""nodal"" signaling, LGI-ADAM interactions, and keratinization."
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,Mitochondrial protein import,https://www.reactome.org/content/detail/R-HSA-1268020,"A human mitochondrion contains about 1500 proteins, more than 99% of which are encoded in the nucleus, synthesized in the cytosol and imported into the mitochondrion. Proteins are targeted to four locations (outer membrane, intermembrane space, inner membrane, and matrix) and must be sorted accordingly (reviewed in Kutik et al. 2007, Milenkovic et al. 2007, Bolender et al. 2008, Endo and Yamano 2009, Wiedemann and Pfanner 2017, Kang et al. 2018). Newly synthesized proteins are transported from the cytosol across the outer membrane by the TOMM40:TOMM70 complex. Proteins that contain presequences first interact with the TOMM20 subunit of the complex while proteins that contain internal targeting elements first interact with the TOMM70 subunit. After initial interaction the protein is conducted across the outer membrane by TOMM40 subunits. In yeast some proteins such as Aco1, Atp1, Cit1, Idh1, and Atp2 have both presequences that interact with TOM20 and mature regions that interact with TOM70 (Yamamoto et al. 2009).After passage across the outer membrane, proteins may be targeted to the outer membrane via the SAMM50 complex, to the inner membrane via the TIMM22 or TIMM23 complexes (reviewed in van der Laan et al. 2010), to the matrix via the TIMM23 complex (reviewed in van der Laan et al. 2010), or proteins may fold and remain in the intermembrane space (reviewed in Stojanovski et al. 2008, Deponte and Hell 2009,  Sideris and Tokatlidis 2010). Presequences on matrix and inner membrane proteins cause interaction with TIMM23 complexes; internal targeting sequences cause outer membrane proteins to interact with the SAMM50 complex and inner membrane proteins to interact with the TIMM22 complex. While in the intermembrane space hydrophobic proteins are chaperoned by the TIMM8:TIMM13 complex and/or the TIMM9:TIMM10:FXC1 complex."
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,Cytokine Signaling in Immune system,https://www.reactome.org/content/detail/R-HSA-1280215,"Cytokines are small proteins that regulate and mediate immunity, inflammation, and hematopoiesis. They are secreted in response to immune stimuli, and usually act briefly, locally, at very low concentrations. Cytokines bind to specific membrane receptors, which then signal the cell via second messengers, to regulate cellular activity."
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,Adaptive Immune System,https://www.reactome.org/content/detail/R-HSA-1280218,"Adaptive immunity refers to antigen-specific immune response efficiently involved in clearing the pathogens. The adaptive immune system is comprised of B and T lymphocytes that express receptors with remarkable diversity tailored to recognize aspects of particular pathogens or antigens. During infection, dendritic cells (DC) which act as sentinels in the peripheral tissues recognize and pick up the pathogen in the form of antigenic determinants and then process these antigens and present them to T cells. These T cells of appropriate specificity respond to the antigen, and either kill the pathogen directly or secrete cytokines that will stimulate B lymphocyte response. B cells provide humoral immunity by secreting antibodies specific for the pathogen or antigen."
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING,Spry regulation of FGF signaling,https://www.reactome.org/content/detail/R-HSA-1295596,"Sprouty was initially characterized as a negative regulator of  FGFR signaling in Drosophila. Human cells contain four genes encoding Sprouty proteins, of which Spry2 is the best studied and most widely expressed.  Spry proteins modulate the duration and extent of signaling through the MAPK cascade after FGF stimulation, although the mechanism appears to depend on the particular biological context.  Some studies have suggested that Sprouty binds to GRB2 and interferes with the recruitment of GRB2-SOS1 to the receptor, while others have shown that Sprouty interferes with the MAPK cascade at the level of RAF activation.  In addition to modulating the MAPK pathway in response to FGF stimulation, Sprouty itself appears to be subject to complex post-translational modification that regulates its activity and stability."
REACTOME_CA2_ACTIVATED_K_CHANNELS,Ca2+ activated K+ channels,https://www.reactome.org/content/detail/R-HSA-1296052,"Ca2+ activated potassium channels are expressed in neuronal and non-neuronal tissue such as smooth muscle, epithelial cell and sensory cells. Ca2+ activated potassium channels are activated when the Ca2+ ion concentration increased, The efflux of K+ via these channels leads to repolarization/hyperpolarization of the membrane potential which limits the Ca2+ influx though voltage activated Ca2+ channels (VGCC) thereby regulating the influx of Ca2+ flow via VGCC."
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS,Inwardly rectifying K+ channels,https://www.reactome.org/content/detail/R-HSA-1296065,"Inwardly rectifying K+ channels (Kir channels) show an inward rather than outward (like the voltage gated K+ channels) flow of K+ thereby contributing to maintenance of  resting membrane potential and regulation of action potential in excitable tissue. Kir channels are found in a variety of cell types such as cardiac myocytes, neurons, blood cells, osteoblasts, glial cells, epithelial cells, and oocytes. Kir channels can be functionally divided into ATP sensitive K+ channels (Kir 6.1 and Kir 6.2), classical kir channels (Kir 2.1, 2.2, 2.3, 2.4, 5.1) G protein gated K+ channels (Kir 3.1, 3.2, 3.3, 3.4) and K+ transport channels (Kir1.1, 7.1, 4.2, 4.1)."
REACTOME_POTASSIUM_CHANNELS,Potassium Channels,https://www.reactome.org/content/detail/R-HSA-1296071,"Potassium channels are tetrameric ion channels that are widely distributed and are found in all cell types. Potassium channels control resting membrane potential in neurons, contribute to regulation of action potentials in cardiac muscle and help release of insulin form pancreatic beta cells.Broadly K+ channels are classified into voltage gated K+ channels, Hyperpolarization activated cyclic nucleotide gated K+ channels (HCN), Tandem pore domain K+ channels, Ca2+ activated K+ channels and inwardly rectifying K+ channels."
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS,Voltage gated Potassium channels,https://www.reactome.org/content/detail/R-HSA-1296072,"Voltage-gated K+ channels (Kv) determine the excitability of heart, brain and skeletal muscle cells. Kv form octameric channel with alpha subunits that forms the pore of the channel and associated beta subunits. The alpha subunits associate with beta subunits with a stoichiometry of alpha4beta4.The alpha subunits have been classified into 12 families, 1-12 with several representatives from each family. Members of Kv 1-4 form both homotetramers and heterotetramers, however, members of Kv 5-12  form functional heterotetramers. Kv's are expressed in the axon, at axon nodes, somatodendritic sites and axon termini."
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS,Tandem pore domain potassium channels,https://www.reactome.org/content/detail/R-HSA-1296346,"Tandem pore domain K+ channels (K2p) produce leak K+ current which stabilizes negative membrane potential and counter balances depolarization. These channels are regulated by voltage independent mechanisms such as membrane stretch, pH, temperature. Tandem pore domain K+ channels have been classified into six subfamilies; tandem pore domains in weak rectifying K+ channel (TWIK), TWIK-related K+ channel (TREK), TWIK-related acid-sensitive K+ channel (TASK), TWIK-related alkaline pH-activated K+ channel (TALK), tandem pore domain halothane-inhibted K+ channel (THIK), TWIK-releated spinal cord K+ channel)."
REACTOME_SPERM_MOTILITY_AND_TAXES,Sperm Motility And Taxes,https://www.reactome.org/content/detail/R-HSA-1300642,"A series of receptor signaling pathways potentially govern chemical communication between sperm and egg, chemotactically guiding incoming sperm towards the oocyte. Though several substances are confirmed as sperm chemoattractant, progesterone (P) seems to be the best chemoattractant candidate for human sperm. Ion channels control the sperm ability to fertilize the egg by regulating sperm maturation in the female reproductive tract and by triggering key sperm physiological responses required for successful fertilization such as hyperactivated motility, chemotaxis, and the acrosome reaction. CatSper, a pH regulated, calcium selective ion channel, potassium channel KSper (Slo3), and Hv1, the voltage gated proton channel are involved in regulation of sperm hyperactivated motility. While progesterone, secreted by ovulated cumulus oophorus, may act as a chemoattractant for sperm cells over the short distances, a major determinant of sperm guidance over long distances in the mammalian female reproductive tract is rheotaxis."
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,Acrosome Reaction and Sperm:Oocyte Membrane Binding,https://www.reactome.org/content/detail/R-HSA-1300645,"The acrosome reaction is stimulated by zona pellucida binding and subsequent downstream events, including Ca2+ influx. Proacrosin cleavage is the hallmark event of the acrosome reaction.After the acrosome reactome the sperm has passed through the cumulus cells and the zona pellucida. The membrane of the sperm head and the membrane of the oocyte are drawn together through the interaction of the sperm-bound protein Izumo and the ooctye CD9 membrane protein."
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING,GRB7 events in ERBB2 signaling,https://www.reactome.org/content/detail/R-HSA-1306955,"Heterodimers of ERBB2 and ERBB3 are able to bind GRB7 (Fiddes et al. 1998) through phosphorylated tyrosine residues in the C-tail of ERBB3 (Y1199 and Y1262) (Fiddes et al. 1998), but the exact downstream signaling of this complex has not been elucidated. GRB7 can recruit SHC1 to the active ERBB2 complex, and contributes to ERBB2 signaling-induced RAS activation, which promotes cellular proliferation, but the exact mechanism has not been elucidated (Pradip et al. 2013). In addition, GRB7 can be phosphorylated by the integrin-activated PTK2 (FAK), leading to VAV2-dependent activation of RAC1 and promotion of cell migration. The exact mechanistic details of GRB7-induced RAC1 activation are not known (Pradip et al. 2013)."
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,Downregulation of ERBB2:ERBB3 signaling,https://www.reactome.org/content/detail/R-HSA-1358803,"Level of plasma membrane ERBB3 is regulated by E3 ubiquitin ligase RNF41 (also known as NRDP1), which binds and ubiquitinates both inactive and activated ERBB3, targeting it for degradation (Cao et al. 2007). RNF41 is subject to self-ubiquitination which keeps its levels low when ERBB3 is not stimulated, and preserves ERBB3 expression on the cell surface (Qiu et al. 2002).  Self-ubiquitination of RNF41 is reversible, through the action of ubiquitin protease USP8, an enzyme stabilized by AKT-mediated phosphorylation.  Therefore, activation of AKT by ERBB2:ERBB3 signaling leads to phosphorylation of USP8 (Cao et al. 2007), which increases level of RNF41 through deubiquitination, and results in degradation of activated ERBB3 (Cao et al. 2007) - a negative feedback loop of ERBB3 signaling. Downregulation of EGFR and ERBB4 signaling is explained in pathways Signaling by EGFR and Signaling by ERBB4."
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX,Transcription of E2F targets under negative control by DREAM complex,https://www.reactome.org/content/detail/R-HSA-1362277,DREAM complex is evolutionarily conserved and is reponsible for transcriptional repressession of cell cycle-regulated genes in G0 and early G1.
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,https://www.reactome.org/content/detail/R-HSA-1362300,"In G0 and early G1, expression of E2F target genes such as Cyclin A, E2F1, CDC2 and MYBL2 is inhibited by complexes containing p130 (RBL2) and p107 (RBL1), respectively, and histone deacetylase HDAC1."
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS,Mitochondrial iron-sulfur cluster biogenesis,https://www.reactome.org/content/detail/R-HSA-1362409,"Iron-sulfur (Fe-S) proteins are localized in the cytosol, nucleus, and mitochondria of mammalian cells (reviewed in Stemmler et al. 2010, Rouault 2012, Bandyopadhyay et al. 2008, Lill 2009, Lill et al. 2012). Fe-S protein biogenesis in the mitochondrial matrix involves the iron-sulfur cluster (ISC) assembly machinery. Ferrous iron is transported across the inner mitochondrial membrane into the mitochondrial matrix by Mitoferrin-1 (SLC25A37) and Mitoferrin-2 (SLC25A28). (Mitoferrin-1 is enriched in erythroid cells while Mitoferrin-2 is ubiquitous.) Frataxin binds ferrous iron in the mitochondrial matrix. The cysteine desulfurase NFS1 in a subcomplex with ISD11 provides the sulfur by converting cyteine into alanine and forming a persulfide which is used for cluster formation on ISCU, the scaffold protein. Interaction between NFS1 and ISD11 is necessary for desulfurase activity. Frataxin binds to a complex containing NFS1, ISD11, and ISCU and is proposed to function as an iron donor to ISCU or as an allosteric switch that activates sulfur transfer and Fe-S cluster assembly (Tsai and Barondeau 2010). Cluster formation also involves the electron transfer chain ferredoxin reductase and ferredoxin. ISCU initially forms clusters containing 2 iron atoms and 2 sulfur atoms ([2Fe-2S] clusters). They are released by the function of HSP70-HSC20 chaperones and the monothiol glutaredoxin GLRX5 and used for assembly of [2Fe-2S] proteins. Assembly of larger clusters such as [4Fe-4S] clusters may involve the function of ISCA1, ISCA2, and IBA57. The clusters are transferred to apo-enzymes such as the respiratory complexes, aconitase, and lipoate synthase through dedicated targeting factors such as IND1, NFU1, and BOLA3."
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION,RORA activates gene expression,https://www.reactome.org/content/detail/R-HSA-1368082,"As inferred from mouse, RORA binds ROR elements (ROREs) in DNA and recruits the coactivators PPARGC1A (PGC-1alpha) and p300 (EP300, a histone acetylase) to activate transcription."
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",https://www.reactome.org/content/detail/R-HSA-1368108,"As inferred from mouse, BMAL1:CLOCK (ARNTL:CLOCK) and BMAL1:NPAS2 (ARNTL:NPAS2) heterodimers bind to sequence elements (E boxes) in the promoters of target genes and enhance transcription (Gekakis et al. 1998, reviewed in Munoz and Baler 2003)."
